Name,Image_URL,Price,URL
MIST DUSTER,https://farmpays.com/wp-content/uploads/2022/03/Knapsack_Mist-Duster3WF-3H2-788x788-1-450x450.jpg,"₦4,375.00",https://farmpays.com/product/fungicare/
Motorized Spray...,https://farmpays.com/wp-content/uploads/2022/02/Motorize-Sprayer-450x450.jpg,"₦1,187.50",https://farmpays.com/product/nordox/
Fungicare,https://farmpays.com/wp-content/uploads/2021/09/fungicare-450x450.jpg,"₦39,900.00",https://farmpays.com/product/16l-knapsack-sprayer/
NORDOX,https://farmpays.com/wp-content/uploads/2021/03/Nordox-75-WG.jpg,₦875.00,https://farmpays.com/product/jorkemil-plus/
16l knapsack sp...,https://farmpays.com/wp-content/uploads/2021/03/red-knapsack-removebg-preview-450x408.png,"₦2,500.00",https://farmpays.com/product/hexacal-100ml/
Jorkemil Plus,https://farmpays.com/wp-content/uploads/2021/03/farmoays-product-450x450.jpg,"₦5,000.00",https://farmpays.com/product/hattrick-250ml/
HEXACAL 100ML,https://farmpays.com/wp-content/uploads/2021/02/FARMPAYS-Hexacal-1-scaled-600x603-1-450x450.jpg,"₦7,500.00",https://farmpays.com/product/haifa-bonus-npk-202020-agricultural-fertilizer/
HATTRICK 250ML,https://farmpays.com/wp-content/uploads/2021/02/DSC_0726-scaled-600x473-1-450x450.jpg,"₦7,000.00",https://farmpays.com/product/gel-fertilizer-with-urea/?attribute_presentation=1+bottle+%281L%29
Haifa Bonus NPK...,https://farmpays.com/wp-content/uploads/2021/02/download-8.jpg,"₦82,000.00",https://farmpays.com/product/gel-fertilizer-with-urea/?attribute_presentation=1+Carton+%2812+bottles%29
Gel fertilizer ...,https://farmpays.com/wp-content/uploads/2021/02/fertilizer-removebg-preview-450x450.png,"₦10,000.00",https://farmpays.com/product/funguforce-gold-1kg/
Gel fertilizer ...,https://farmpays.com/wp-content/uploads/2021/02/fertilizer-removebg-preview-450x450.png,₦700.00,https://farmpays.com/product/gladiator-pesticide/?attribute_size=100ml
FUNGUFORCE GOLD...,https://farmpays.com/wp-content/uploads/2021/02/Funguforce.jpg,"₦1,200.00",https://farmpays.com/product/gladiator-pesticide/?attribute_size=250ml
GLADIATOR PESTI...,https://farmpays.com/wp-content/uploads/2021/02/IMG_20190814_141354_9-1-scaled-450x450.jpg,"₦5,500.00",https://farmpays.com/product/gladiator-pesticide/?attribute_size=1lt
GLADIATOR PESTI...,https://farmpays.com/wp-content/uploads/2021/02/IMG_20190814_141354_9-1-scaled-450x450.jpg,"₦4,987.50",https://farmpays.com/product/2-litres-hand-held-pressure-sprayer-pump/
GLADIATOR PESTI...,https://farmpays.com/wp-content/uploads/2021/02/IMG_20190814_141354_9-1-scaled-450x450.jpg,"₦125,000.00",https://farmpays.com/product/land-clearing-per-hectare/?attribute_defensive=Soft
2 Litres Hand H...,https://farmpays.com/wp-content/uploads/2021/02/411hBxNRSQL._SX466_-450x450.jpg,"₦165,000.00",https://farmpays.com/product/land-clearing-per-hectare/?attribute_defensive=Hard
Land Clearing P...,https://farmpays.com/wp-content/uploads/2021/02/1589351046uatpz-land-clearing-land-grading-land-leveler-450x450.jpg,"₦12,500.00",https://farmpays.com/product/d-i-grow-organic-foliar-liquid-fertilizer/?attribute_d-i-grow-color=GREEN
Land Clearing P...,https://farmpays.com/wp-content/uploads/2021/02/1589351046uatpz-land-clearing-land-grading-land-leveler-450x450.jpg,"₦3,500.00",https://farmpays.com/product/continental-seed-lettuce-10grm/
D.I. Grow Organ...,https://farmpays.com/wp-content/uploads/2020/12/grow-4-450x450.jpeg,"₦16,000.00",https://farmpays.com/product/continenta-maxim-10grm-tomato/?attribute_size=10g
CONTINENTAL SEE...,https://farmpays.com/wp-content/uploads/2020/12/Great-Select-CS.-Lettuce-450x450.jpg,"₦14,000.00",https://farmpays.com/product/continenta-maxim-10grm-tomato/?attribute_size=5g
CONTINENTA MAXI...,https://farmpays.com/wp-content/uploads/2020/12/52ee1769-bb3a-44c6-be61-043d43defd5f-570x888-1-450x450.jpg,"₦68,000.00",https://farmpays.com/product/cp15-evolution-knapsack-sprayer/?attribute_type=Confort
CONTINENTA MAXI...,https://farmpays.com/wp-content/uploads/2020/12/52ee1769-bb3a-44c6-be61-043d43defd5f-570x888-1-450x450.jpg,"₦70,000.00",https://farmpays.com/product/cp15-evolution-knapsack-sprayer/?attribute_type=Standard
CP15 Evolution ...,https://farmpays.com/wp-content/uploads/2020/12/CP-15-Evolution-Confort.jpg,"₦1,875.00",https://farmpays.com/product/ampligo-insecticide/
CP15 Evolution ...,https://farmpays.com/wp-content/uploads/2020/12/CP-15-Evolution-Confort.jpg,"₦4,500.00",https://farmpays.com/product/agrovert/?attribute_size=1KG
AMPLIGO INSECTI...,https://farmpays.com/wp-content/uploads/2020/12/AnyConv.com__download-9-1.jpeg,"₦44,000.00",https://farmpays.com/product/agrovert/?attribute_size=25KG
AGROVERT - 1KG,https://farmpays.com/wp-content/uploads/2020/12/IMG_20201006_120342_625_1601988690111-600x615-1-450x450.jpg,"₦2,000.00",https://farmpays.com/product/actara-insecticide-syngenta/?attribute_size=Powder
AGROVERT - 25KG,https://farmpays.com/wp-content/uploads/2020/12/IMG_20201006_120342_625_1601988690111-600x615-1-450x450.jpg,"₦16,000.00",https://farmpays.com/product/actara-insecticide-syngenta/?attribute_size=Litter
